2       54.682768       1437.702625     1794.754735
4       26.533290       650.349839      894.381819
8       13.292368       422.185349      487.855323
16      7.549793        230.411778      268.162394
32      4.020149        152.881494      130.301922
64      2.182316        84.076141       74.091307
128     1.853189        47.270822       32.133690
256     1.046855        31.093407       28.645396
512     1.628243        26.589338       28.386846
1024    1.020061        21.289575       27.203942
2048    0.682793        20.592714       26.535707
4096    0.529282        16.296745       27.523698
8192    0.347013        18.560747       28.378709
16384   0.306184        18.707528       27.439990
32768   0.365769        14.610211       24.076775
65536   0.286421        19.006298       30.726909
131072  0.292702        17.796884       30.538715
262144  0.395303        16.463039       28.502208
524288  0.800491        21.140638       27.868616
1048576 0.941317        18.719220       27.630280
