2       19241360.37     730732.44       584922.22
4       39565639.78     1617477.13      1173329.97
8       78959373.40     2489977.58      2160955.00
16      139064409.66    4606355.68      3957423.92
32      261128618.30    6892116.97      8054001.18
64      508865308.83    12694745.92     14224618.26
128     670297098.03    22466923.08     34530555.92
256     1003523811.88   34830603.35     37367936.17
512     645929743.11    41461109.23     37736590.40
1024    1029692621.38   52261585.33     39789284.67
2048    1555407864.30   53291256.56     40905644.18
4096    1993561968.79   70416841.20     39142775.02
8192    3073518801.29   61225407.29     37479806.25
16384   3494029050.06   60724386.73     39313005.86
32768   3849006587.77   77895826.16     45488113.14
65536   3786838803.66   59852605.98     35060638.48
131072  3996552984.74   64499561.92     34803042.26
262144  2841334616.23   70111768.61     37726960.05
524288  1481683105.24   50400519.60     38595194.11
1048576 1228591971.63   60636851.34     38989074.52
